sitio,parcela,tratamento,tratamcarina,bloco,ponto,ID,RFR_pre,RFR_pos,RFR_1ano
IGR,9,NNW,1,4,5,9_5,0.73,0.73,0.57
IGR,9,NNW,1,4,6,9_6,0.7,0.7,0.74
IGR,9,NNW,1,4,7,9_7,0.61,0.61,0.73
IGR,9,NNW,1,4,8,9_8,0.54,0.54,0.66
IGR,9,NNW,1,4,9,9_9,0.38,0.38,0.63
IGR,9,NNW,1,4,10,9_10,0.64,0.64,0.6
IGR,9,NNW,1,4,11,9_11,0.44,0.44,0.6
IGR,9,NNW,1,4,12,9_12,0.66,0.66,0.62
IGR,9,NNW,1,4,13,9_13,0.7,0.7,0.78
IGR,9,NNW,1,4,14,9_14,0.59,0.59,0.69
IGR,9,NNW,1,4,15,9_15,0.49,0.49,0.77
IGR,9,NNW,1,4,16,9_16,0.56,0.56,0.61
IGR,9,NNW,1,4,17,9_17,0.83,0.83,0.7
IGR,9,NNW,1,4,18,9_18,0.93,0.93,0.78
IGR,9,NNW,1,4,19,9_19,0.53,0.53,0.73
IGR,9,NNW,1,4,20,9_20,0.44,0.44,0.79
IGR,9,NNW,1,4,21,9_21,0.7,0.7,0.77
IGR,9,NNW,1,4,22,9_22,0.82,0.82,0.76
IGR,9,NNW,1,4,23,9_23,0.47,0.47,0.73
IGR,9,NNW,1,4,24,9_24,0.87,0.87,0.75
IGR,11,NNW,1,2,1,11_1,0.68,0.68,0.67
IGR,11,NNW,1,2,2,11_2,0.66,0.66,0.5
IGR,11,NNW,1,2,3,11_3,0.81,0.81,0.61
IGR,11,NNW,1,2,4,11_4,0.73,0.73,0.55
IGR,11,NNW,1,2,5,11_5,0.88,0.88,0.52
IGR,11,NNW,1,2,6,11_6,0.96,0.96,0.58
IGR,11,NNW,1,2,7,11_7,0.8,0.8,0.56
IGR,11,NNW,1,2,8,11_8,0.7,0.7,0.63
IGR,11,NNW,1,2,9,11_9,0.74,0.74,0.64
IGR,11,NNW,1,2,10,11_10,0.78,0.78,0.62
IGR,11,NNW,1,2,11,11_11,0.82,0.82,0.58
IGR,11,NNW,1,2,12,11_12,0.88,0.88,0.7
IGR,11,NNW,1,2,13,11_13,0.8,0.8,0.71
IGR,11,NNW,1,2,14,11_14,0.86,0.86,0.7
IGR,11,NNW,1,2,15,11_15,0.77,0.77,0.68
IGR,11,NNW,1,2,16,11_16,0.72,0.72,0.55
IGR,11,NNW,1,2,17,11_17,0.79,0.79,0.59
IGR,11,NNW,1,2,18,11_18,0.69,0.69,0.53
IGR,11,NNW,1,2,19,11_19,0.57,0.57,0.53
IGR,11,NNW,1,2,20,11_20,0.53,0.53,0.51
IGR,11,NNW,1,2,21,11_21,0.65,0.65,0.6
IGR,11,NNW,1,2,22,11_22,0.82,0.82,0.51
IGR,11,NNW,1,2,23,11_23,0.61,0.61,0.46
IGR,11,NNW,1,2,24,11_24,0.57,0.57,0.58
IGR,14,NEC,2,2,1,14_1,0.88,1.09,0.9
IGR,14,NEC,2,2,2,14_2,0.78,1.1,0.96
IGR,14,NEC,2,2,3,14_3,0.78,1.1,1.03
IGR,14,NEC,2,2,4,14_4,0.86,1.06,1
IGR,14,NEC,2,2,5,14_5,0.86,1.07,0.85
IGR,14,NEC,2,2,6,14_6,0.79,1.05,0.94
IGR,14,NEC,2,2,7,14_7,0.95,1.09,0.95
IGR,14,NEC,2,2,8,14_8,0.94,1.1,0.92
IGR,14,NEC,2,2,9,14_9,0.94,1.1,0.87
IGR,14,NEC,2,2,10,14_10,0.85,1.09,0.85
IGR,14,NEC,2,2,11,14_11,0.85,1.05,0.94
IGR,14,NEC,2,2,12,14_12,0.95,1.08,0.98
IGR,14,NEC,2,2,13,14_13,0.95,1.08,1.01
IGR,14,NEC,2,2,14,14_14,0.91,1.12,0.88
IGR,14,NEC,2,2,15,14_15,0.88,1.1,0.97
IGR,14,NEC,2,2,16,14_16,0.81,1.09,1.02
IGR,14,NEC,2,2,17,14_17,0.95,1.09,1.02
IGR,14,NEC,2,2,18,14_18,0.93,1.06,1.02
IGR,14,NEC,2,2,19,14_19,0.85,1.06,0.9
IGR,14,NEC,2,2,20,14_20,0.87,1.1,0.88
IGR,14,NEC,2,2,21,14_21,0.88,1.08,0.93
IGR,14,NEC,2,2,22,14_22,0.9,1.09,1.03
IGR,14,NEC,2,2,23,14_23,0.86,1.05,0.9
IGR,14,NEC,2,2,24,14_24,0.95,1.08,0.85
IGR,15,NEW,3,2,1,15_1,0.82,0.82,0.91
IGR,15,NEW,3,2,2,15_2,0.89,0.89,0.86
IGR,15,NEW,3,2,3,15_3,0.91,0.91,0.86
IGR,15,NEW,3,2,4,15_4,0.75,0.75,0.84
IGR,15,NEW,3,2,5,15_5,0.85,0.85,0.78
IGR,15,NEW,3,2,6,15_6,0.85,0.85,0.91
IGR,15,NEW,3,2,7,15_7,0.82,0.82,0.93
IGR,15,NEW,3,2,8,15_8,0.84,0.84,0.86
IGR,15,NEW,3,2,9,15_9,0.83,0.83,0.87
IGR,15,NEW,3,2,10,15_10,0.82,0.82,0.81
IGR,15,NEW,3,2,11,15_11,0.84,0.84,0.91
IGR,15,NEW,3,2,12,15_12,0.9,0.9,0.96
IGR,15,NEW,3,2,13,15_13,0.86,0.86,0.86
